x,y,random
 320 ,0.206,
 321 ,0.243,
 322 ,0.252,
 323 ,0.281,
 324 ,0.302,
 325 ,0.304,
 326 ,0.306,
 327 ,0.319,
 328 ,0.302,
 329 ,0.292,
 330 ,0.315,
 331 ,0.355,
 332 ,0.396,
 333 ,0.457,
 334 ,0.493,
 335 ,0.517,
 336 ,0.591,
 337 ,0.683,
 338 ,0.71,
 339 ,0.639,
 340 ,0.509,
 341 ,0.37,
 342 ,0.283,
 343 ,0.232,
 344 ,0.176,
 345 ,0.211,
 346 ,0.16,
 347 ,0.14,
 348 ,0.151,
 349 ,0.145,
 350 ,0.122,
 351 ,0.102,
 352 ,0.07,
 353 ,0.062,
 354 ,0.073,
 355 ,0.081,
 356 ,0.084,
 357 ,0.102,
 358 ,0.126,
 359 ,0.161,
 360 ,0.19,
 361 ,0.216,
 362 ,0.245,
 363 ,0.199,
 364 ,0.115,
 365 ,0.076,
 366 ,0.075,
 367 ,0.085,
 368 ,0.097,
 369 ,0.09,
 370 ,0.075,
 371 ,0.12,
 372 ,0.207,
 373 ,0.186,
 374 ,0.14,
 375 ,0.129,
 376 ,0.12,
 377 ,0.108,
 378 ,0.106,
 379 ,0.122,
 380 ,0.092,
 381 ,0.048,
 382 ,0.06,
 383 ,0.141,
 384 ,0.106,
 385 ,0.121,
 386 ,0.172,
 387 ,0.162,
 388 ,0.296,
 389 ,0.512,
 390 ,0.669,
 391 ,0.781,
 392 ,0.814,
 393 ,0.812,
 394 ,0.77,
 395 ,0.702,
 396 ,0.642,
 397 ,0.588,
 398 ,0.54,
 399 ,0.516,
 400 ,0.51,
 401 ,0.466,
 402 ,0.326,
 403 ,0.186,
 404 ,0.119,
 405 ,0.082,
 406 ,0.058,
 407 ,0.039,
 408 ,0.024,
 409 ,0.012,
 410 ,0.005,
 411 ,0.002,
 412 ,0.001,
 413 ,0,
 414 ,0,
 415 ,0,
 416 ,0,
 417 ,0,
 418 ,0.004,
 419 ,0.018,
 420 ,0.035,
 421 ,0.043,
 422 ,0.035,
 423 ,0.03,
 424 ,0.037,
 425 ,0.053,
 426 ,0.071,
 427 ,0.086,
 428 ,0.09,
 429 ,0.086,
 430 ,0.083,
 431 ,0.083,
 432 ,0.087,
 433 ,0.09,
 434 ,0.077,
 435 ,0.058,
 436 ,0.06,
 437 ,0.07,
 438 ,0.079,
 439 ,0.096,
 440 ,0.156,
 441 ,0.239,
 442 ,0.263,
 443 ,0.269,
 444 ,0.283,
 445 ,0.304,
 446 ,0.264,
 447 ,0.197,
 448 ,0.137,
 449 ,0.101,
 450 ,0.078,
 451 ,0.066,
 452 ,0.062,
 453 ,0.054,
 454 ,0.042,
 455 ,0.034,
 456 ,0.028,
 457 ,0.023,
 458 ,0.021,
 459 ,0.004,
 460 ,0.001,
 461 ,0.001,
 462 ,0.001,
 463 ,0,
 464 ,0,
 465 ,0,
 466 ,0.014,
 467 ,0.058,
 468 ,0.104,
 469 ,0.159,
 470 ,0.126,
 471 ,0.058,
 472 ,0.03,
 473 ,0.03,
 474 ,0.039,
 475 ,0.061,
 476 ,0.088,
 477 ,0.126,
 478 ,0.166,
 479 ,0.189,
 480 ,0.209,
 481 ,0.23,
 482 ,0.212,
 483 ,0.133,
 484 ,0.04,
 485 ,0.006,
 486 ,0.003,
 487 ,0.003,
 488 ,0.001,
 489 ,0.007,
 490 ,0.023,
 491 ,0.03,
 492 ,0.064,
 493 ,0.05,
 494 ,0.058,
 495 ,0.118,
 496 ,0.154,
 497 ,0.158,
 498 ,0.183,
 499 ,0.213,
 500 ,0.212,
 501 ,0.221,
 502 ,0.264,
 503 ,0.335,
 504 ,0.384,
 505 ,0.403,
 506 ,0.4,
 507 ,0.252,
 508 ,0.117,
 509 ,0.073,
 510 ,0.035,
 511 ,0.006,
 512 ,0.001,
 513 ,0.004,
 514 ,0.03,
 515 ,0.087,
 516 ,0.206,
 517 ,0.295,
 518 ,0.356,
 519 ,0.434,
 520 ,0.481,
 521 ,0.536,
 522 ,0.584,
 523 ,0.582,
 524 ,0.554,
 525 ,0.54,
 526 ,0.566,
 527 ,0.591,
 528 ,0.64,
 529 ,0.687,
 530 ,0.662,
 531 ,0.496,
 532 ,0.262,
 533 ,0.22,
 534 ,0.122,
 535 ,0.04,
 536 ,0.003,
 537 ,0.005,
 538 ,0.009,
 539 ,0.015,
 540 ,0.035,
 541 ,0.047,
 542 ,0.03,
 543 ,0.009,
 544 ,0.003,
 545 ,0.001,
 546 ,0.001,
 547 ,0.004,
 548 ,0.019,
 549 ,0.046,
 550 ,0.059,
 551 ,0.056,
 552 ,0.053,
 553 ,0.063,
 554 ,0.068,
 555 ,0.049,
 556 ,0.037,
 557 ,0.024,
 558 ,0.003,
 559 ,0,
 560 ,0,
 561 ,0,
 562 ,0.009,
 563 ,0.02,
 564 ,0.031,
 565 ,0.059,
 566 ,0.051,
 567 ,0.021,
 568 ,0.012,
 569 ,0.019,
 570 ,0.039,
 571 ,0.056,
 572 ,0.06,
 573 ,0.056,
 574 ,0.057,
 575 ,0.061,
 576 ,0.062,
 577 ,0.063,
 578 ,0.057,
 579 ,0.028,
 580 ,0.003,
 581 ,0.001,
 582 ,0.038,
 583 ,0.126,
 584 ,0.182,
 585 ,0.183,
 586 ,0.157,
 587 ,0.122,
 588 ,0.118,
 589 ,0.204,
 590 ,0.256,
 591 ,0.226,
 592 ,0.132,
 593 ,0.041,
 594 ,0.009,
 595 ,0.02,
 596 ,0.039,
 597 ,0.059,
 598 ,0.087,
 599 ,0.122,
 600 ,0.157,
 601 ,0.179,
 602 ,0.17,
 603 ,0.096,
 604 ,0.037,
 605 ,0.012,
 606 ,0.004,
 607 ,0.001,
 608 ,0,
 609 ,0,
 610 ,0.001,
 611 ,0.004,
 612 ,0.005,
 613 ,0.012,
 614 ,0.032,
 615 ,0.06,
 616 ,0.119,
 617 ,0.154,
 618 ,0.161,
 619 ,0.108,
 620 ,0.059,
 621 ,0.03,
 622 ,0.014,
 623 ,0.007,
 624 ,0.004,
 625 ,0.006,
 626 ,0.019,
 627 ,0.028,
 628 ,0.02,
 629 ,0.016,
 630 ,0.018,
 631 ,0.065,
 632 ,0.166,
 633 ,0.25,
 634 ,0.318,
 635 ,0.317,
 636 ,0.318,
 637 ,0.364,
 638 ,0.417,
 639 ,0.459,
 640 ,0.456,
 641 ,0.473,
 642 ,0.523,
 643 ,0.556,
 644 ,0.576,
 645 ,0.623,
 646 ,0.66,
 647 ,0.683,
 648 ,0.702,
 649 ,0.712,
 650 ,0.707,
 651 ,0.705,
 652 ,0.904,
 653 ,0.966,
 654 ,0.977,
 655 ,0.978,
 656 ,0.977,
 657 ,0.976,
 658 ,0.974,
 659 ,0.94,
 660 ,0.896,
 661 ,0.876,
 662 ,0.872,
 663 ,0.859,
 664 ,0.838,
 665 ,0.817,
 666 ,0.767,
 667 ,0.68,
 668 ,0.538,
 669 ,0.359,
 670 ,0.185,
 671 ,0.079,
 672 ,0.054,
 673 ,0.093,
 674 ,0.18,
 675 ,0.208,
 676 ,0.171,
 677 ,0.156,
 678 ,0.14,
 679 ,0.081,
 680 ,0.072,
 681 ,0.071,
 682 ,0.177,
 683 ,0.425,
 684 ,0.584,
 685 ,0.615,
 686 ,0.62,
 687 ,0.642,
 688 ,0.662,
 689 ,0.671,
 690 ,0.651,
 691 ,0.641,
 692 ,0.615,
 693 ,0.604,
 694 ,0.597,
 695 ,0.633,
 696 ,0.671,
 697 ,0.689,
 698 ,0.724,
 699 ,0.684,
 700 ,0.523,
 701 ,0.255,
 702 ,0.125,
 703 ,0.047,
 704 ,0.032,
 705 ,0.027,
 706 ,0.026,
 707 ,0.024,
 708 ,0.025,
 709 ,0.025,
 710 ,0.029,
 711 ,0.087,
 712 ,0.164,
 713 ,0.197,
 714 ,0.164,
 715 ,0.157,
 716 ,0.155,
 717 ,0.142,
 718 ,0.134,
 719 ,0.135,
 720 ,0.145,
 721 ,0.17,
 722 ,0.251,
 723 ,0.281,
 724 ,0.442,
 725 ,0.764,
 726 ,0.885,
 727 ,0.92,
 728 ,0.919,
 729 ,0.891,
 730 ,0.715,
 731 ,0.41,
 732 ,0.285,
 733 ,0.317,
 734 ,0.318,
 735 ,0.269,
 736 ,0.241,
 737 ,0.199,
 738 ,0.171,
 739 ,0.167,
 740 ,0.17,
 741 ,0.134,
 742 ,0.097,
 743 ,0.092,
 744 ,0.129,
 745 ,0.266,
 746 ,0.488,
 747 ,0.528,
 748 ,0.65,
 749 ,0.817,
 750 ,0.913,
 751 ,0.959,
 752 ,0.972,
 753 ,0.975,
 754 ,0.956,
 755 ,0.868,
 756 ,0.785,
 757 ,0.745,
 758 ,0.68,
 759 ,0.621,
 760 ,0.587,
 761 ,0.559,
 762 ,0.598,
 763 ,0.627,
 764 ,0.651,
 765 ,0.657,
 766 ,0.644,
 767 ,0.63,
 768 ,0.601,
 769 ,0.584,
 770 ,0.509,
 771 ,0.584,
 772 ,0.743,
 773 ,0.849,
 774 ,0.902,
 775 ,0.935,
 776 ,0.955,
 777 ,0.958,
 778 ,0.944,
 779 ,0.867,
 780 ,0.834,
 781 ,0.86,
 782 ,0.887,
 783 ,0.91,
 784 ,0.916,
 785 ,0.913,
 786 ,0.901,
 787 ,0.844,
 788 ,0.755,
 789 ,0.687,
 790 ,0.599,
 791 ,0.448,
 792 ,0.29,
 793 ,0.236,
 794 ,0.209,
 795 ,0.207,
 796 ,0.453,
 797 ,0.714,
 798 ,0.859,
 799 ,0.918,
 800 ,0.943,
 801 ,0.948,
 802 ,0.895,
 803 ,0.774,
 804 ,0.808,
 805 ,0.877,
 806 ,0.915,
 807 ,0.927,
 808 ,0.941,
 809 ,0.946,
 810 ,0.94,
 811 ,0.916,
 812 ,0.921,
 813 ,0.927,
 814 ,0.897,
 815 ,0.853,
 816 ,0.844,
 817 ,0.858,
 818 ,0.854,
 819 ,0.822,
 820 ,0.947,
 821 ,0.977,
 822 ,0.977,
